cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,population,poor
MMR,2005,East Asia & Pacific,EAP,Myanmar,MMR,2005,national,,,,consumption,,,2.15,0.4885,0.1502,0.0643,0.2028,2.9333,2.1805,,,,,,,,,,,,,,,389.8429,47724471,573.4516,,TRUE,micro,extrapolation,48483000,23683945.5
MNE,2005,Europe & Central Asia,ECA,Montenegro,MNE,2005,national,,,,consumption,,,2.15,0.0023,6e-04,2e-04,7e-04,14.5617,12.4719,,,,,,,,,,,,,,,0.4187,614261,5013.1935,,FALSE,micro,survey,616000,1416.8
MNG,2005,East Asia & Pacific,EAP,Mongolia,MNG,2005,national,,,,consumption,,,2.15,0.0539,0.0099,0.0031,0.0121,6.7909,5.501,,,,,,,,,,,,,,,873.542,2559255,2041.8685,,TRUE,micro,interpolation,2527000,136205.3
MNP,2005,Other High Income Countries,EAS,Northern Mariana Islands,MNP,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,64000,353.298201829223
MOZ,2005,Sub-Saharan Africa,SSA,Mozambique,MOZ,2005,national,,,,consumption,,,2.15,0.7756,0.3851,0.23,0.6255,1.8891,1.2528,,,,,,,,,,,,,,,21.988,20211114,389.0803,286.778,TRUE,micro,interpolation,20923000,16227878.8
MRT,2005,Sub-Saharan Africa,SSA,Mauritania,MRT,2005,national,,,,consumption,,,2.15,0.1633,0.042,0.016,0.0545,5.2274,3.8792,,,,,,,,,,,,,,,124.4526,3012360,1384.0143,843.3928,TRUE,micro,interpolation,3130000,511129
MUS,2005,Sub-Saharan Africa,SSA,Mauritius,MUS,2005,national,,,,consumption,,,2.15,0.0043,7e-04,2e-04,9e-04,12.2959,9.5715,,,,,,,,,,,,,,,18.0094,1228254,6472.8739,5021.3555,TRUE,micro,extrapolation,1222000,5254.6
MWI,2005,Sub-Saharan Africa,SSA,Malawi,MWI,2005,national,,,,consumption,,,2.15,0.6901,0.2843,0.1469,0.4156,2.1898,1.5687,,,,,,,,,,,,,,,241.9305,12755648,412.982,,TRUE,micro,interpolation,13040000,8998904
MYS,2005,East Asia & Pacific,EAP,Malaysia,MYS,2005,national,,,,income,,,2.15,0.0098,0.0019,7e-04,0.0025,17.7221,12.1401,,,,,,,,,,,,,,,1.7269,25923536,7209.6055,3238.1705,TRUE,micro,interpolation,25660000,251468
NAM,2005,Sub-Saharan Africa,SSA,Namibia,NAM,2005,national,,,,consumption,,,2.15,0.337,0.1111,0.0516,0.1563,7.4124,3.0533,,,,,,,,,,,,,,,6.8983,1962865,3634.6204,1828.4972,TRUE,micro,interpolation,2032000,684784
NCL,2005,Other High Income Countries,EAS,New Caledonia,NCL,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,233000,1286.22626603452
NER,2005,Sub-Saharan Africa,SSA,Niger,NER,2005,national,,,,consumption,,,2.15,0.805,0.4091,0.247,0.6637,1.7146,1.1647,,,,,,,,,,,,,,,245.1597,13855221,404.2806,301.7025,FALSE,micro,survey,13619000,10963295
NGA,2005,Sub-Saharan Africa,SSA,Nigeria,NGA,2005,national,,,,consumption,,,2.15,0.4558,0.1711,0.0862,0.2503,3.0219,2.3318,,,,,,,,,,,,,,,123.6724,140490722,1950.1228,1896.0709,TRUE,mixed,interpolation,138940000,63328852
NIC,2005,Latin America & Caribbean,LAC,Nicaragua,NIC,2005,national,,,,consumption,,,2.15,0.1726,0.0416,0.0146,0.0523,5.5286,4.0271,,,,,,,,,,,,,,,11.5284,5454678,1568.4224,1163.0401,FALSE,micro,survey,5379000,928415.4
NLD,2005,Other High Income Countries,OHI,Netherlands,NLD,2005,national,,,,income,,,2.15,0.0015,6e-04,4e-04,0.0011,52.0069,44.7962,,,,,,,,,,,,,,,0.8495,16319868,42201.7754,20905.2067,FALSE,micro,survey,16367000,24550.5
NOR,2005,Other High Income Countries,OHI,Norway,NOR,2005,national,,,,income,,,2.15,0.002,0.0015,0.0013,0.0049,57.3436,47.4566,,,,,,,,,,,,,,,10.7428,4623291,73524.2549,27255.7813,FALSE,micro,survey,4632000,9264
NPL,2005,South Asia,SAS,Nepal,NPL,2005,national,,,,consumption,,,2.15,0.3178,0.0807,0.0296,0.1027,4.0919,2.8783,,,,,,,,,,,,,,,30.5129,26285110,610.5967,568.7079,TRUE,micro,interpolation,25640000,8148392
NRU,2005,East Asia & Pacific,EAP,Nauru,NRU,2005,national,,,,consumption,,,2.15,0.3061,0.0834,0.0307,0.1054,3.3995,2.7382,,,,,,,,,,,,,,,1.3761,10318,3705.2794,,TRUE,micro,extrapolation,10000,3061
NZL,2005,Other High Income Countries,EAS,New Zealand,NZL,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,4135000,22826.37600881
OMN,2005,Other High Income Countries,MEA,Oman,OMN,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,2511000,13861.4341373934
PAK,2005,South Asia,SAS,Pakistan,PAK,2005,national,,,,consumption,,,2.15,0.2007,0.0369,0.0106,0.0442,3.7907,3.0393,,,,,,,,,,,,,,,33.2507,174372098,1100.595,902.7153,TRUE,micro,interpolation,153910000,30889737
PAN,2005,Latin America & Caribbean,LAC,Panama,PAN,2005,national,,,,income,,,2.15,0.0856,0.0321,0.018,0.0404,17.6214,10.3902,,,,,,,,,,,,,,,0.5081,3305868,7872.7855,,FALSE,micro,survey,3331000,285133.6
PER,2005,Latin America & Caribbean,LAC,Peru,PER,2005,national,,,,income,,,2.15,0.1781,0.0659,0.033,0.097,8.138,5.2775,,,,,,,,,,,,,,,1.8936,28147267,3828.8524,2360.881,FALSE,micro,survey,27610000,4917341
PHL,2005,East Asia & Pacific,EAP,Philippines,PHL,2005,national,,,,consumption,,,2.15,0.1474,0.0315,0.0101,0.0386,6.0994,4.2102,,,,,,,,,,,,,,,19.3925,86261250,2079.3318,1591.4178,TRUE,micro,interpolation,86274000,12716787.6
PLW,2005,East Asia & Pacific,EAS,Palau,PLW,,,,,,,,,,0.216046926491422,,,,,,,,,,,,,,,,,,,,,,,,,,regional,20000,4320.93852982845
PNG,2005,East Asia & Pacific,EAP,Papua New Guinea,PNG,2005,national,,,,consumption,,,2.15,0.5266,0.2299,0.1302,0.3596,2.8234,2.0573,,,,,,,,,,,,,,,2.6999,6498818,1886.5278,,TRUE,micro,interpolation,6315000,3325479
POL,2005,Europe & Central Asia,ECA,Poland,POL,2005,national,,,,consumption,,,2.15,0.0018,3e-04,1e-04,3e-04,14.8256,11.9223,,,,,,,,,,,,,,,1.8423,38165445,8554.6939,5301.0036,FALSE,micro,survey,38363000,69053.4
PRI,2005,Other High Income Countries,LCN,Puerto Rico,PRI,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,3766000,20789.3910638884
PRK,2005,East Asia & Pacific,EAS,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,0.216046926491422,,,,,,,,,,,,,,,,,,,,,,,,,,regional,23904000,5164385.73085096
PRT,2005,Other High Income Countries,OHI,Portugal,PRT,2005,national,,,,income,,,2.15,0.0054,0.0028,0.0017,0.0045,30.7643,22.9044,,,,,,,,,,,,,,,0.6574,10503330,19224.0347,12511.7122,FALSE,micro,survey,10566000,57056.4
PRY,2005,Latin America & Caribbean,LAC,Paraguay,PRY,2005,national,,,,income,,,2.15,0.0607,0.0204,0.0097,0.0285,14.013,8.5052,,,,,,,,,,,,,,,2539.9849,5476878,4171.2365,2692.1731,FALSE,micro,survey,5795000,351756.5
PSE,2005,Middle East & North Africa,MNA,West Bank and Gaza,PSE,2005,national,,,,consumption,,,2.15,0.002,4e-04,1e-04,5e-04,13.403,10.7432,,,,,,,,,,,,,,,2.0663,3320396,2632.2463,2453.9953,FALSE,micro,survey,3576000,7152
PYF,2005,Other High Income Countries,EAS,French Polynesia,PYF,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,255000,1407.67252291331
QAT,2005,Other High Income Countries,MEA,Qatar,QAT,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,865000,4775.0460090981
ROU,2005,Europe & Central Asia,ECA,Romania,ROU,2005,national,,,,consumption,,,2.15,0.0177,0.0018,2e-04,0.0019,8.0392,6.9598,,,,,,,,,,,,,,,1.805,21319685,6325.2218,3784.6025,FALSE,micro,survey,21431000,379328.7
RUS,2005,Europe & Central Asia,ECA,Russian Federation,RUS,2005,national,,,,consumption,,,2.15,0.0077,0.0017,6e-04,0.0022,16.0157,11.5443,,,,,,,,,,,,,,,25.2183,143518814,7323.3853,3178.3306,FALSE,micro,survey,143618000,1105858.6
RWA,2005,Sub-Saharan Africa,SSA,Rwanda,RWA,2005,national,,,,consumption,,,2.15,0.6725,0.3039,0.1714,0.4745,2.6283,1.5381,,,,,,,,,,,,,,,293.705,9026299,447.4305,374.4657,TRUE,micro,interpolation,8992000,6047120
SAU,2005,Other High Income Countries,MEA,Saudi Arabia,SAU,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,23906000,131967.918952022
SDN,2005,Sub-Saharan Africa,SSA,Sudan,SDN,2005,national,,,,consumption,,,2.15,0.1867,0.0523,0.0219,0.0705,4.659,3.7602,,,,,,,,,,,,,,,6.464,29540577,2213.791,1658.4723,TRUE,micro,extrapolation,30912000,5771270.4
SEN,2005,Sub-Saharan Africa,SSA,Senegal,SEN,2005,national,,,,consumption,,,2.15,0.4236,0.1434,0.0668,0.2028,3.2814,2.4497,,,,,,,,,,,,,,,238.5777,10974057,1145.7076,841.3898,TRUE,micro,interpolation,11251000,4765923.6
SGP,2005,Other High Income Countries,EAS,Singapore,SGP,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,4491000,24791.597256485
SLB,2005,East Asia & Pacific,EAP,Solomon Islands,SLB,2005,national,,,,consumption,,,2.15,0.5117,0.2033,0.1069,0.3057,3.1808,2.1113,,,,,,,,,,,,,,,7.7144,482486,1757.8896,1181.2115,TRUE,micro,extrapolation,470000,240499
SLE,2005,Sub-Saharan Africa,SSA,Sierra Leone,SLE,2005,national,,,,consumption,,,2.15,0.5795,0.211,0.1005,0.2971,2.5852,1.9023,,,,,,,,,,,,,,,2128.5188,5683334,465.7784,425.8659,TRUE,micro,interpolation,5658000,3278811
SLV,2005,Latin America & Caribbean,LAC,El Salvador,SLV,2005,national,,,,income,,,2.15,0.1128,0.0434,0.025,0.0668,9.9383,6.5923,,,,,,,,,,,,,,,0.515,6037817,3147.2252,2818.6974,FALSE,micro,survey,6029000,680071.2
SMR,2005,Other High Income Countries,ECS,San Marino,SMR,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,30000,165.608532107449
SOM,2005,Sub-Saharan Africa,SSF,Somalia,SOM,,,,,,,,,,0.487180343817941,,,,,,,,,,,,,,,,,,,,,,,,,,regional,10410000,5071547.37914476
SRB,2005,Europe & Central Asia,ECA,Serbia,SRB,2005,national,,,,consumption,,,2.15,0.0079,0.0022,9e-04,0.0028,14.6267,11.6698,,,,,,,,,,,,,,,47.9923,7440769,4404.9599,3299.0307,FALSE,micro,survey,9215000,72798.5
STP,2005,Sub-Saharan Africa,SSA,Sao Tome and Principe,STP,2005,national,,,,consumption,,,2.15,0.2282,0.0551,0.0194,0.0693,4.0141,3.3316,,,,,,,,,,,,,,,11.4289,161680,1194.6045,,TRUE,micro,interpolation,156000,35599.2
SUR,2005,Latin America & Caribbean,LAC,Suriname,SUR,2005,urban,,,,income,,,2.15,0.1623,0.132,0.1218,0.0506,15.7147,9.7762,,,,,,,,,,,,,,,2.9343,344226,7305.1807,,TRUE,micro,extrapolation,499000,80987.7
SVK,2005,Europe & Central Asia,ECA,Slovak Republic,SVK,2005,national,,,,consumption,,,2.15,9e-04,1e-04,0,1e-04,15.7395,13.41,,,,,,,,,,,,,,,0.5793,5372807,11425.9001,7074.3877,FALSE,micro,survey,5399000,4859.1
SVN,2005,Europe & Central Asia,ECA,Slovenia,SVN,2005,national,,,,income,,,2.15,0.001,6e-04,4e-04,0.0012,34.5249,31.3456,,,,,,,,,,,,,,,0.6389,2000474,19239.3999,10361.3268,FALSE,micro,survey,1997000,1997
SWE,2005,Other High Income Countries,OHI,Sweden,SWE,2005,national,,,,income,,,2.15,0.0108,0.008,0.0073,0.007,41.3829,37.4996,,,,,,,,,,,,,,,9.2232,9029572,45990.3743,20349.7492,FALSE,micro,survey,9038000,97610.4
SWZ,2005,Sub-Saharan Africa,SSA,Eswatini,SWZ,2005,national,,,,consumption,,,2.15,0.5251,0.2157,0.1137,0.322,3.6347,2.0481,,,,,,,,,,,,,,,6.1177,1071886,2790.2508,1899.3224,TRUE,micro,interpolation,1106000,580760.6
SXM,2005,Other High Income Countries,LCN,Sint Maarten (Dutch part),SXM,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,33000,182.169385318193
SYC,2005,Sub-Saharan Africa,SSA,Seychelles,SYC,2005,national,,,,consumption,,,2.15,0.0062,0.0012,4e-04,0.0015,17.1745,12.3287,,,,,,,,,,,,,,,9.0271,82858,11471.2066,3054.8516,TRUE,micro,interpolation,89000,551.8
SYR,2005,Middle East & North Africa,MNA,Syrian Arab Republic,SYR,2005,national,,,,consumption,,,2.15,0.0035,5e-04,1e-04,6e-04,11.3233,8.4652,,,,,,,,,,,,,,,151.7781,18583557,1429.2768,2277.9638,TRUE,micro,extrapolation,18294000,64029
TCA,2005,Other High Income Countries,LCN,Turks and Caicos Islands,TCA,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,26000,143.527394493122
TCD,2005,Sub-Saharan Africa,SSA,Chad,TCD,2005,national,,,,consumption,,,2.15,0.3678,0.1229,0.0577,0.1744,3.6936,2.7251,,,,,,,,,,,,,,,237.6564,10005012,682.3539,,TRUE,micro,interpolation,10067000,3702642.6
TGO,2005,Sub-Saharan Africa,SSA,Togo,TGO,2005,national,,,,consumption,,,2.15,0.6083,0.2486,0.128,0.363,2.5444,1.7578,,,,,,,,,,,,,,,246.5965,5711597,624.6038,533.1303,TRUE,micro,extrapolation,5684000,3457577.2
THA,2005,East Asia & Pacific,EAP,Thailand,THA,2005,national,,,,consumption,,,2.15,0.0096,0.0017,5e-04,0.002,11.7464,8.2665,,,,,,,,,,,,,,,13.2873,65821360,4385.2808,2460.1743,TRUE,micro,interpolation,65426000,628089.6
TJK,2005,Europe & Central Asia,ECA,Tajikistan,TJK,2005,national,,,,consumption,,,2.15,0.1769,0.0457,0.0195,0.064,4.3574,3.5978,,,,,,,,,,,,,,,2.5948,6929145,617.9389,673.0906,TRUE,micro,interpolation,6854000,1212472.6
TKM,2005,Europe & Central Asia,ECA,Turkmenistan,TKM,2005,national,,,,consumption,,,2.15,0.2244,0.0657,0.0272,0.0874,4.7647,3.4278,,,,,,,,,,,,,,,1.663,4885775,2711.9833,,TRUE,micro,extrapolation,4754000,1066797.6
TLS,2005,East Asia & Pacific,EAP,Timor-Leste,TLS,2005,national,,,,consumption,,,2.15,0.3955,0.1058,0.0399,0.1357,2.9453,2.4454,,,,,,,,,,,,,,,0.5748,969313,943.1971,807.8656,TRUE,micro,interpolation,1026000,405783
TON,2005,East Asia & Pacific,EAP,Tonga,TON,2005,national,,,,consumption,,,2.15,0.0212,0.005,0.0018,0.0063,11.0793,8.6973,,,,,,,,,,,,,,,1.7136,105633,3689.3538,,TRUE,micro,interpolation,101000,2141.2
TTO,2005,Latin America & Caribbean,LAC,Trinidad and Tobago,TTO,2005,national,,,,income,,,2.15,0.0025,0.0012,0.0012,4e-04,28.0082,21.5429,,,,,,,,,,,,,,,4.6616,1369075,14306.0387,,TRUE,group,extrapolation,1297000,3242.5
TUN,2005,Middle East & North Africa,MNA,Tunisia,TUN,2005,national,,,,consumption,,,2.15,0.0263,0.0053,0.0018,0.0066,9.9307,7.6983,,,,,,,,,,,,,,,0.7423,10388344,3259.709,1560.6658,TRUE,mixed,interpolation,10103000,265708.9
TUR,2005,Europe & Central Asia,ECA,Turkiye,TUR,2005,national,,,,consumption,,,2.15,0.0234,0.0043,0.0014,0.0053,14.168,10.5055,,,,,,,,,,,,,,,1.6467,68704715,7648.3047,4781.5461,FALSE,micro,survey,67904000,1588953.6
TUV,2005,East Asia & Pacific,EAP,Tuvalu,TUV,2005,national,,,,consumption,,,2.15,0.0428,0.0054,0.001,0.006,8.3,6.217,,,,,,,,,,,,,,,1.251,9912,2872.9976,,TRUE,micro,extrapolation,10000,428
TWN,2005,Other High Income Countries,OHI,"Taiwan, China",TWN,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,22603000,124774.988374155
TZA,2005,Sub-Saharan Africa,SSA,Tanzania,TZA,2005,national,,,,consumption,,,2.15,0.6423,0.2595,0.1347,0.3833,2.2856,1.6852,,,,,,,,,,,,,,,754.6215,39439505,675.1091,474.1888,TRUE,micro,interpolation,39411000,25313685.3
UGA,2005,Sub-Saharan Africa,SSA,Uganda,UGA,2005,national,,,,consumption,,,2.15,0.595,0.2319,0.1164,0.3348,2.6718,1.8299,,,,,,,,,,,,,,,1221.0876,27946588,627.753,464.5139,TRUE,micro,interpolation,28544000,16983680
UKR,2005,Europe & Central Asia,ECA,Ukraine,UKR,2005,national,,,,consumption,,,2.15,0.004,7e-04,2e-04,8e-04,10.1364,8.6931,,,,,,,,,,,,,,,7.0057,47105171,2144.248,1023.8469,FALSE,micro,survey,46892000,187568
URY,2005,Latin America & Caribbean,LAC,Uruguay,URY,2005,national,,,,income,,,2.15,0.0066,0.0015,6e-04,0.0018,18.1832,12.2158,,,,,,,,,,,,,,,24.8543,3317665,11024.3882,,TRUE,micro,extrapolation,3325000,21945
USA,2005,Other High Income Countries,OHI,United States,USA,2005,national,,,,income,,,2.15,0.01,0.0081,0.0072,0.0305,70.6384,54.1419,,,,,,,,,,,,,,,1,295516599,52789.7314,35220.5891,FALSE,micro,survey,295129000,2951290
UZB,2005,Europe & Central Asia,ECA,Uzbekistan,UZB,2005,national,,,,consumption,,,2.15,0.766,0.3277,0.1737,0.4891,1.7987,1.416,,,,,,,,,,,,,,,1521.4752,26167000,1560.292,,TRUE,micro,extrapolation,26512000,20308192
VCT,2005,Latin America & Caribbean,LCN,St. Vincent and the Grenadines,VCT,,,,,,,,,,0.103687934114896,,,,,,,,,,,,,,,,,,,,,,,,,,regional,109000,11301.9848185237
VEN,2005,Latin America & Caribbean,LAC,"Venezuela, RB",VEN,2005,national,,,,income,,,2.15,0.1436,0.0859,0.067,0.0904,9.6107,6.6517,,,,,,,,,,,,,,,315.907,26668785,16817.91,,FALSE,micro,survey,26784000,3846182.4
VGB,2005,Other High Income Countries,LCN,British Virgin Islands,VGB,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,23000,126.966541282377
VIR,2005,Other High Income Countries,LCN,Virgin Islands (U.S.),VIR,,,,,,,,,,0.00552028440358162,,,,,,,,,,,,,,,,,,,,,,,,,,regional,108000,596.190715586815
VNM,2005,East Asia & Pacific,EAP,Vietnam,VNM,2005,national,,,,consumption,,,2.15,0.1728,0.0416,0.0149,0.0527,4.7772,3.6817,,,,,,,,,,,,,,,7807.6123,83142095,1570.1932,904.3035,TRUE,micro,interpolation,84309000,14568595.2
VUT,2005,East Asia & Pacific,EAP,Vanuatu,VUT,2005,national,,,,consumption,,,2.15,0.153,0.0375,0.014,0.0482,5.2448,4.0836,,,,,,,,,,,,,,,117.3665,217632,2521.3596,1748.355,TRUE,micro,extrapolation,209000,31977
WSM,2005,East Asia & Pacific,EAP,Samoa,WSM,2005,national,,,,consumption,,,2.15,0.0156,0.0023,6e-04,0.0027,10.6405,7.5427,,,,,,,,,,,,,,,1.8513,188626,3755.0985,,TRUE,micro,interpolation,180000,2808
,2005,Europe & Central Asia,ECA,Kosovo,XKX,,,,,,,,,,0.0623960398953911,,,,,,,,,,,,,,,,,,,,,,,,,,regional,,
YEM,2005,Middle East & North Africa,MNA,"Yemen, Rep.",YEM,2005,national,,,,consumption,,,2.15,0.1039,0.0199,0.0061,0.0242,5.2658,4.1763,,,,,,,,,,,,,,,255.6836,21320671,2391.8322,,TRUE,micro,interpolation,20583000,2138573.7
ZAF,2005,Sub-Saharan Africa,SSA,South Africa,ZAF,2005,national,,,,consumption,,,2.15,0.2833,0.0929,0.0424,0.1293,9.539,3.5438,,,,,,,,,,,,,,,6.5494,49017147,5458.2302,3324.3577,FALSE,micro,survey,48821000,13830989.3
ZMB,2005,Sub-Saharan Africa,SSA,Zambia,ZMB,2005,national,,,,consumption,,,2.15,0.6172,0.313,0.1932,0.521,2.8675,1.5825,,,,,,,,,,,,,,,4.2238,11564870,941.447,,TRUE,micro,interpolation,12053000,7439111.6
ZWE,2005,Sub-Saharan Africa,SSA,Zimbabwe,ZWE,2005,national,,,,consumption,,,2.15,0.2668,0.0727,0.0262,0.0954,4.8718,3.3897,,,,,,,,,,,,,,,0.485,12224753,1105.7551,,TRUE,group,extrapolation,12940000,3452392
ABW,2006,Other High Income Countries,LCN,Aruba,ABW,,,,,,,,,,0.00526402552850662,,,,,,,,,,,,,,,,,,,,,,,,,,regional,101000,531.666578379169
AFG,2006,South Asia,SAS,Afghanistan,AFG,,,,,,,,,,0.336688880116475,,,,,,,,,,,,,,,,,,,,,,,,,,regional,25893000,8717885.17285589
AGO,2006,Sub-Saharan Africa,SSA,Angola,AGO,2006,national,,,,consumption,,,2.15,0.1809,0.0579,0.0272,0.0826,7.0513,4.8053,,,,,,,,,,,,,,,107.27,20162340,2598.7957,1141.4673,TRUE,micro,interpolation,20263000,3665576.7
ALB,2006,Europe & Central Asia,ECA,Albania,ALB,2006,national,,,,consumption,,,2.15,0.004,7e-04,2e-04,8e-04,9.352,7.914,,,,,,,,,,,,,,,50.3574,2992547,2851.3678,2237.2436,TRUE,micro,interpolation,3054000,12216
AND,2006,Other High Income Countries,ECS,Andorra,AND,,,,,,,,,,0.00526402552850662,,,,,,,,,,,,,,,,,,,,,,,,,,regional,81000,426.386067809036
ARE,2006,Other High Income Countries,OHI,United Arab Emirates,ARE,2006,national,,,,income,,,2.15,0,0,0,0,180.4364,162.2387,,,,,,,,,,,,,,,2.8348,4898954,56315.1912,41582.5773,TRUE,group,extrapolation,5242000,0
ARG,2006,Latin America & Caribbean,LAC,Argentina,ARG,2006,urban,,,,income,,,2.15,0.0212,0.008,0.0046,0.0093,24.1669,17.0682,,,,,,,,,,,,,,,10.8079,35608120,11913.9585,7085.166,FALSE,micro,survey,39559000,838650.8
ARM,2006,Europe & Central Asia,ECA,Armenia,ARM,2006,national,,,,consumption,,,2.15,0.02,0.0032,9e-04,0.0039,6.8903,5.8377,,,,,,,,,,,,,,,167.3122,3026486,2636.2567,2152.3729,FALSE,micro,survey,2959000,59180
ASM,2006,Other High Income Countries,EAS,American Samoa,ASM,,,,,,,,,,0.00526402552850662,,,,,,,,,,,,,,,,,,,,,,,,,,regional,59000,310.577506181891
ATG,2006,Other High Income Countries,LCN,Antigua and Barbuda,ATG,,,,,,,,,,0.00526402552850662,,,,,,,,,,,,,,,,,,,,,,,,,,regional,90000,473.762297565596
AUS,2006,Other High Income Countries,OHI,Australia,AUS,2006,national,,,,income,,,2.15,0.0043,0.0038,0.0033,0.0121,56.0639,45.0261,,,,,,,,,,,,,,,1.5293,20450966,52095.862,28817.1783,TRUE,micro,interpolation,20574000,88468.2
AUT,2006,Other High Income Countries,OHI,Austria,AUT,2006,national,,,,income,,,2.15,9e-04,5e-04,3e-04,8e-04,56.9601,48.8566,,,,,,,,,,,,,,,0.8309,8268641,42496.3511,22818.1789,FALSE,micro,survey,8285000,7456.5
AZE,2006,Europe & Central Asia,ECA,Azerbaijan,AZE,2006,national,,,,consumption,,,2.15,0,0,0,0,12.9289,10.719,,,,,,,,,,,,,,,0.487,8484550,3501.1654,,TRUE,micro,extrapolation,8631000,0
BDI,2006,Sub-Saharan Africa,SSA,Burundi,BDI,2006,national,,,,consumption,,,2.15,0.7184,0.2735,0.1262,0.3737,2.0097,1.5316,,,,,,,,,,,,,,,654.4216,7658190,299.7691,237.9051,FALSE,micro,survey,7675000,5513720
BEL,2006,Other High Income Countries,OHI,Belgium,BEL,2006,national,,,,income,,,2.15,0.0017,0.0013,0.0011,0.0013,51.9382,45.9099,,,,,,,,,,,,,,,0.8453,10547958,39147.7636,19743.5912,FALSE,micro,survey,10619000,18052.3
BEN,2006,Sub-Saharan Africa,SSA,Benin,BEN,2006,national,,,,consumption,,,2.15,0.5435,0.1942,0.0911,0.2712,2.7912,2.0031,,,,,,,,,,,,,,,219.4763,8402631,931.7691,746.967,TRUE,micro,interpolation,8217000,4465939.5
BFA,2006,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2006,national,,,,consumption,,,2.15,0.5368,0.2007,0.0974,0.2862,2.8284,1.9769,,,,,,,,,,,,,,,199.7414,14316242,516.1768,393.9004,TRUE,micro,interpolation,13829000,7423407.2
BGD,2006,South Asia,SAS,Bangladesh,BGD,2006,national,,,,consumption,,,2.15,0.2234,0.0415,0.0115,0.0493,3.8911,3.0343,,,,,,,,,,,,,,,29.5141,142628831,823.5317,666.5306,TRUE,micro,interpolation,145368000,32475211.2
BGR,2006,Europe & Central Asia,ECA,Bulgaria,BGR,2006,national,,,,income,,,2.15,0.0583,0.0273,0.0184,0.0579,11.1891,9.5021,,,,,,,,,,,,,,,0.7354,7601022,5634.5294,3459.3808,FALSE,micro,survey,7625000,444537.5
BHR,2006,Other High Income Countries,MEA,Bahrain,BHR,,,,,,,,,,0.00526402552850662,,,,,,,,,,,,,,,,,,,,,,,,,,regional,959000,5048.20048183785
BHS,2006,Other High Income Countries,LCN,"Bahamas, The",BHS,,,,,,,,,,0.00526402552850662,,,,,,,,,,,,,,,,,,,,,,,,,,regional,336000,1768.71257757822
BIH,2006,Europe & Central Asia,ECA,Bosnia and Herzegovina,BIH,2006,national,,,,consumption,,,2.15,0.001,3e-04,1e-04,5e-04,21.4791,17.5909,,,,,,,,,,,,,,,0.7819,4058086,3423.1247,2938.7726,TRUE,micro,interpolation,3780000,3780
BLR,2006,Europe & Central Asia,ECA,Belarus,BLR,2006,national,,,,consumption,,,2.15,0.004,9e-04,3e-04,0.0012,10.4393,9.2071,,,,,,,,,,,,,,,6165.2094,9604924,4294.2524,1688.5218,FALSE,micro,survey,9575000,38300
BLZ,2006,Latin America & Caribbean,LAC,Belize,BLZ,2006,national,,,,income,,,2.15,0.1842,0.0818,0.0504,0.129,7.9425,4.7158,,,,,,,,,,,,,,,1.309,288729,6400.1814,3468.9985,TRUE,micro,extrapolation,291000,53602.2
BMU,2006,Other High Income Countries,NAC,Bermuda,BMU,,,,,,,,,,0.00526402552850662,,,,,,,,,,,,,,,,,,,,,,,,,,regional,65000,342.16165935293
BOL,2006,Latin America & Caribbean,LAC,Bolivia,BOL,2006,national,,,,income,,,2.15,0.1249,0.0626,0.0403,0.1057,14.9382,8.2772,,,,,,,,,,,,,,,2.6119,9542663,2216.5447,1545.1455,FALSE,micro,survey,9284000,1159571.6
