cc,effective_year,type,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
SWZ,2023,fpl_2019eq_gr_2023,Sub-Saharan Africa,SSA,Eswatini,SWZ,2019,national,,,,consumption,,,2.41,0.3907,0.1442,0.0715,0.2079,5.8893,3.0885,,,,,,,,,,,,,,,6.1177,1169613,3766.063,2385.8188,TRUE,micro,extrapolation
GEO,2023,fpl_2019eq_gr_2023,Europe & Central Asia,ECA,Georgia,GEO,2019,national,,,,consumption,,,2.54,0.0747,0.019,0.0073,0.0247,7.9745,6.4294,,,,,,,,,,,,,,,0.9247,3720161,4773.3357,3532.3452,FALSE,micro,survey
NGA,2023,fpl_2019eq_gr_2023,Sub-Saharan Africa,SSA,Nigeria,NGA,2019,national,,,,consumption,,,1.33,0.0981,0.0208,0.0069,0.0258,3.6535,2.9513,,,,,,,,,,,,,,,123.6724,203304492,2505.4627,1853.4945,TRUE,micro,extrapolation
DJI,2023,fpl_2019eq_gr_2023,Middle East & North Africa,MNA,Djibouti,DJI,2019,national,,,,consumption,,,2.54,0.2307,0.0816,0.0407,0.1205,5.6307,4.2254,,,,,,,,,,,,,,,104.7365,1073994,2820.0629,1827.1634,TRUE,micro,extrapolation
UZB,2023,fpl_2019eq_gr_2023,Europe & Central Asia,ECA,Uzbekistan,UZB,2019,national,,,,consumption,,,2.81,0.4789,0.1501,0.0668,0.2067,3.6721,2.8908,,,,,,,,,,,,,,,1521.4752,33580350,3185.3346,2128.7367,TRUE,micro,extrapolation
GUY,2023,fpl_2019eq_gr_2023,Latin America & Caribbean,LAC,Guyana,GUY,2019,national,,,,income,,,0.94,0.0331,0.0246,0.0205,0.0607,14.1933,10.2422,,,,,,,,,,,,,,,115.6263,798753,6348.6981,,TRUE,micro,extrapolation
BGD,2023,fpl_2019eq_gr_2023,South Asia,SAS,Bangladesh,BGD,2019,national,,,,consumption,,,1.83,0.0564,0.009,0.0024,0.0106,4.702,3.8028,,,,,,,,,,,,,,,29.5141,165516222,1575.6559,1081.9091,TRUE,micro,interpolation
ETH,2023,fpl_2019eq_gr_2023,Sub-Saharan Africa,SSA,Ethiopia,ETH,2019,national,,,,consumption,,,2.15,0.1789,0.0488,0.0189,0.0632,4.4437,3.6389,,,,,,,,,,,,,,,8.4964,114120594,797.8853,544.9121,TRUE,micro,extrapolation
SLE,2023,fpl_2019eq_gr_2023,Sub-Saharan Africa,SSA,Sierra Leone,SLE,2019,national,,,,consumption,,,1.63,0.0978,0.0178,0.005,0.0211,3.9958,3.043,,,,,,,,,,,,,,,2128.5188,8046828,634.9856,554.1641,TRUE,micro,extrapolation
SDN,2023,fpl_2019eq_gr_2023,Sub-Saharan Africa,SSA,Sudan,SDN,2019,national,,,,consumption,,,3.64,0.5959,0.2096,0.0969,0.2914,3.9489,3.1683,,,,,,,,,,,,,,,6.464,43232093,1950.0316,1744.1969,TRUE,micro,extrapolation
SYR,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,Syrian Arab Republic,SYR,2019,national,,,,consumption,,,1.134,0.2833,0.0722,0.0263,0.0916,2.0963,1.5672,,,,,,,,,,,,,,,151.7781,20098251,781.3912,421.7236,TRUE,micro,extrapolation
COD,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,"Congo, Dem. Rep.",COD,2019,national,,,,consumption,,,1.55,0.4522,0.1685,0.0849,0.2462,2.3365,1.6835,,,,,,,,,,,,,,,630.6055,89906890,494.8192,362.7961,TRUE,micro,extrapolation
MOZ,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Mozambique,MOZ,2019,national,,,,consumption,,,1.873,0.6512,0.2988,0.1732,0.4842,2.3134,1.3992,,,,,,,,,,,,,,,21.988,30285595,600.4034,394.9344,TRUE,micro,interpolation
AGO,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Angola,AGO,2019,national,,,,consumption,,,3.719,0.5544,0.2606,0.1562,0.4298,5.2981,3.3057,,,,,,,,,,,,,,,107.27,32353588,2569.7017,1404.1077,TRUE,micro,extrapolation
ZWE,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Zimbabwe,ZWE,2019,national,,,,consumption,,,3.039,0.5651,0.2377,0.1256,0.3516,4.5002,2.6533,,,,,,,,,,,,,,,0.485,15354608,1342.9896,990.4512,FALSE,imputed,survey
BRA,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Brazil,BRA,2019,national,,,,income,,,3.755,0.1114,0.0472,0.0274,0.0704,21.1151,12.8877,,,,,,,,,,,,,,,2.3274,211782878,8592.2102,5605.5095,FALSE,micro,survey
MEX,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Mexico,MEX,2019,national,,,,income,,,4.007,0.1119,0.0346,0.0161,0.0481,14.6424,9.85,,,,,,,,,,,,,,,9.8615,125085311,10013.7243,6747.1179,TRUE,micro,interpolation
TZA,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Tanzania,TZA,2019,national,,,,consumption,,,1.455,0.1843,0.0402,0.0132,0.0497,3.3884,2.397,,,,,,,,,,,,,,,754.6215,59872579,1038.7363,601.2591,TRUE,micro,extrapolation
KEN,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Kenya,KEN,2019,national,,,,consumption,,,2.204,0.3302,0.0923,0.037,0.1215,3.8274,2.8933,,,,,,,,,,,,,,,41.6348,50951450,1653.829,1252.9846,TRUE,micro,interpolation
EGY,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2019,national,,,,consumption,,,2.895,0.0802,0.0139,0.004,0.0169,6.5445,5.2538,,,,,,,,,,,,,,,4.8435,105618671,3802.41,2958.1693,TRUE,micro,interpolation
ZAF,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,South Africa,ZAF,2019,national,,,,consumption,,,2.615,0.2709,0.0992,0.0496,0.1444,11.8975,4.7353,,,,,,,,,,,,,,,6.5494,58087055,6189.2892,4046.2205,TRUE,micro,extrapolation
YEM,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,"Yemen, Rep.",YEM,2019,national,,,,consumption,,,2.55,0.6865,0.2722,0.1366,0.3923,2.499,1.9128,,,,,,,,,,,,,,,255.6836,31546691,1182.5071,,TRUE,micro,extrapolation
UGA,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Uganda,UGA,2019,national,,,,consumption,,,1.477,0.2036,0.053,0.0205,0.0694,3.556,2.487,,,,,,,,,,,,,,,1221.0876,42949080,920.0716,679.3153,TRUE,micro,interpolation
BDI,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Burundi,BDI,2019,national,,,,consumption,,,1.792,0.6185,0.2306,0.1125,0.3287,2.0184,1.4988,,,,,,,,,,,,,,,654.4216,11874838,270.1373,207.1296,TRUE,micro,extrapolation
MDG,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Madagascar,MDG,2019,national,,,,consumption,,,1.51,0.6388,0.2669,0.1434,0.4048,1.6895,1.1883,,,,,,,,,,,,,,,962.9596,27533134,478.927,337.9674,TRUE,micro,extrapolation
MWI,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Malawi,MWI,2019,national,,,,consumption,,,0.863,0.1477,0.0332,0.0112,0.0413,2.138,1.5627,,,,,,,,,,,,,,,241.9305,18867337,573.4001,,TRUE,micro,interpolation
IRN,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,"Iran, Islamic Rep.",IRN,2019,national,,,,consumption,,,3.313,0.0428,0.0096,0.0034,0.0123,14.5719,10.5939,,,,,,,,,,,,,,,13944.9043,86564202,5059.8794,2530.2857,TRUE,micro,interpolation
LKA,2020,fpl_2019eq_fo_2020,South Asia,SAS,Sri Lanka,LKA,2019,national,,,,consumption,,,2.578,0.0253,0.0037,9e-04,0.0043,9.2485,6.913,,,,,,,,,,,,,,,55.5009,21803000,4458.4344,2776.5782,FALSE,micro,survey
NER,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Niger,NER,2019,national,,,,consumption,,,1.231,0.1345,0.0267,0.0082,0.0325,2.876,2.1495,,,,,,,,,,,,,,,245.1597,23443393,520.9194,366.3839,TRUE,micro,extrapolation
TCD,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Chad,TCD,2019,national,,,,consumption,,,1.535,0.1348,0.029,0.0098,0.0361,3.8111,2.878,,,,,,,,,,,,,,,237.6564,16126866,652.7032,486.454,TRUE,micro,extrapolation
ZMB,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Zambia,ZMB,2019,national,,,,consumption,,,1.263,0.4089,0.1782,0.0998,0.2802,2.9806,1.6115,,,,,,,,,,,,,,,4.2238,18380477,1310.6222,,TRUE,micro,extrapolation
MMR,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Myanmar,MMR,2019,national,,,,consumption,,,2.452,0.023,0.0037,0.001,0.0043,7.3097,6.0783,,,,,,,,,,,,,,,389.8429,53040212,1587.4042,,TRUE,micro,extrapolation
COL,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Colombia,COL,2019,national,,,,income,,,2.723,0.0829,0.0304,0.0172,0.0414,15.5424,9.6152,,,,,,,,,,,,,,,1419.3743,50187406,6404.1088,4460.1382,FALSE,micro,survey
SSD,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,South Sudan,SSD,2019,national,,,,consumption,,,1.974,0.6859,0.3322,0.1998,0.551,1.9082,1.3498,,,,,,,,,,,,,,,34.92,10447666,787.1836,,TRUE,imputed,extrapolation
ARG,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Argentina,ARG,2019,urban,,,,income,,,6.351,0.098,0.0314,0.0151,0.0428,26.0959,19.4754,,,,,,,,,,,,,,,10.8079,41339571,12716.2242,8271.9248,FALSE,micro,survey
HTI,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Haiti,HTI,2019,national,,,,consumption,,,1.894,0.2015,0.0617,0.0272,0.085,4.7284,3.5677,,,,,,,,,,,,,,,31.1029,11160438,1371.707,1441.4871,TRUE,micro,extrapolation
TGO,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Togo,TGO,2019,national,,,,consumption,,,2.031,0.2513,0.072,0.0295,0.0955,4.6098,3.2489,,,,,,,,,,,,,,,246.5965,8243094,837.4929,631.6452,TRUE,micro,extrapolation
PNG,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Papua New Guinea,PNG,2019,national,,,,consumption,,,1.274,0.1342,0.0399,0.0166,0.053,4.2632,3.2157,,,,,,,,,,,,,,,2.6999,9542486,2590.4942,,TRUE,micro,extrapolation
GHA,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Ghana,GHA,2019,national,,,,consumption,,,1.261,0.0857,0.0295,0.0147,0.0438,5.595,4.1094,,,,,,,,,,,,,,,1.751,31522290,1981.6139,1383.7097,TRUE,micro,extrapolation
GIN,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Guinea,GIN,2019,national,,,,consumption,,,2.49,0.1971,0.0477,0.0171,0.0606,4.4625,3.8585,,,,,,,,,,,,,,,3446.9322,12877539,937.7031,718.613,TRUE,micro,extrapolation
BFA,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2019,national,,,,consumption,,,1.187,0.0531,0.0086,0.0023,0.0102,4.345,2.9247,,,,,,,,,,,,,,,199.7414,20951639,716.0122,459.4514,TRUE,micro,extrapolation
PER,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Peru,PER,2019,national,,,,income,,,3.025,0.0659,0.0192,0.0082,0.0263,13.7971,10.4066,,,,,,,,,,,,,,,1.8936,32824861,6550.4475,4311.3532,FALSE,micro,survey
RWA,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Rwanda,RWA,2019,national,,,,consumption,,,1.06,0.0905,0.0196,0.0066,0.0245,3.5058,2.3553,,,,,,,,,,,,,,,293.705,12835028,871.1099,652.0701,TRUE,micro,extrapolation
CAF,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Central African Republic,CAF,2019,national,,,,consumption,,,2.439,0.7067,0.3432,0.2043,0.557,2.3371,1.5808,,,,,,,,,,,,,,,306.8083,5209324,381.414,466.0255,TRUE,micro,interpolation
MLI,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Mali,MLI,2019,national,,,,consumption,,,1.503,0.0354,0.0059,0.0016,0.0069,4.9586,3.7931,,,,,,,,,,,,,,,205.2734,20567424,779.3266,584.8007,TRUE,micro,extrapolation
GTM,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Guatemala,GTM,2019,national,,,,income,,,3.992,0.2435,0.0828,0.0396,0.1183,10.6186,6.9692,,,,,,,,,,,,,,,4.4033,16604026,4263.7084,3680.3284,TRUE,micro,extrapolation
COG,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2019,national,,,,consumption,,,1.757,0.4089,0.1674,0.0898,0.2529,3.2916,2.1366,,,,,,,,,,,,,,,285.9693,5570733,1731.7999,758.3223,TRUE,micro,extrapolation
PHL,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Philippines,PHL,2019,national,,,,consumption,,,2.479,0.0802,0.0149,0.0044,0.0179,7.2445,5.4586,,,,,,,,,,,,,,,19.3925,110380804,3589.6136,2557.7651,TRUE,micro,interpolation
LBR,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Liberia,LBR,2019,national,,,,consumption,,,3.991,0.6908,0.2828,0.1474,0.4162,3.7053,2.9534,,,,,,,,,,,,,,,47.996,4985289,644.1621,,TRUE,micro,extrapolation
IDN-R,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Indonesia,IDN,2019,rural,,,,consumption,,,2.078,0.049,0.0064,0.0014,0.0072,5.824,4.8255,,,,,,,,,,,,,,,4746.8516,118656904,3892.4217,2236.778,FALSE,micro,survey
LBN,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,Lebanon,LBN,2019,national,,,,consumption,,,3.725,6e-04,0,2.8466e-06,0,29.6548,25.157,,,,,,,,,,,,,,,761.8333,5781907,8081.7433,7478.5607,TRUE,micro,extrapolation
IDN-U,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Indonesia,IDN,2019,urban,,,,consumption,,,1.719,0.0066,6e-04,1e-04,6e-04,8.5269,6.3138,,,,,,,,,,,,,,,5098.1961,150925974,3892.4217,2236.778,FALSE,micro,survey
MRT,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Mauritania,MRT,2019,national,,,,consumption,,,2.926,0.124,0.0303,0.0116,0.0393,6.9164,5.813,,,,,,,,,,,,,,,124.4526,4383849,1670.0288,1026.8215,TRUE,micro,extrapolation
CIV,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2019,national,,,,consumption,,,1.44,0.0232,0.004,0.0013,0.0049,5.7669,4.4315,,,,,,,,,,,,,,,247.1344,26147551,2252.5433,1428.7855,TRUE,micro,extrapolation
HND,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Honduras,HND,2019,national,,,,income,,,4.5,0.3401,0.1449,0.0819,0.2257,10.1239,6.9277,,,,,,,,,,,,,,,10.8388,9958829,2446.1081,1973.4915,FALSE,micro,survey
JAM,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Jamaica,JAM,2019,national,,,,consumption,,,5.32,0.177,0.0478,0.0192,0.0632,15.4071,10.0807,,,,,,,,,,,,,,,70.3916,2813773,5307.511,4214.8787,TRUE,micro,extrapolation
SEN,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Senegal,SEN,2019,national,,,,consumption,,,1.636,0.0287,0.005,0.0015,0.0061,6.0358,4.4737,,,,,,,,,,,,,,,238.5777,16000781,1409.9708,968.9019,TRUE,micro,extrapolation
BOL,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Bolivia,BOL,2019,national,,,,income,,,4.762,0.0825,0.0306,0.0157,0.0448,19.6077,14.6929,,,,,,,,,,,,,,,2.6119,11777315,3242.9488,2244.932,FALSE,micro,survey
GMB,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,"Gambia, The",GMB,2019,national,,,,consumption,,,2.115,0.1439,0.0364,0.0138,0.047,5.2721,3.99,,,,,,,,,,,,,,,15.1142,2508883,668.6351,563.8173,TRUE,micro,interpolation
ECU,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Ecuador,ECU,2019,national,,,,income,,,3.14,0.0737,0.0241,0.0116,0.034,15.3802,10.6785,,,,,,,,,,,,,,,0.5745,17343740,5863.9106,3644.6061,FALSE,micro,survey
FJI,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Fiji,FJI,2019,national,,,,consumption,,,5.157,0.2776,0.0726,0.027,0.0927,8.2387,6.8939,,,,,,,,,,,,,,,0.9859,918465,5678.9699,,TRUE,micro,interpolation
GAB,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Gabon,GAB,2019,national,,,,consumption,,,3.696,0.0849,0.0257,0.0112,0.0352,12.3368,9.6731,,,,,,,,,,,,,,,319.1603,2242785,6893.3231,2506.3412,TRUE,micro,extrapolation
LAO,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Lao PDR,LAO,2019,national,,,,consumption,,,2.248,0.0772,0.0133,0.0037,0.0158,6.6662,4.8631,,,,,,,,,,,,,,,3133.8118,7212053,2564.0197,,TRUE,micro,extrapolation
TLS,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Timor-Leste,TLS,2019,national,,,,consumption,,,2.122,0.211,0.0422,0.0126,0.0508,3.5563,3.0072,,,,,,,,,,,,,,,0.5748,1280438,1530.8111,823.769,TRUE,micro,extrapolation
KAZ,2020,fpl_2019eq_fo_2020,Europe & Central Asia,ECA,Kazakhstan,KAZ,2019,national,,,,consumption,,,3.947,0.0063,8e-04,2e-04,9e-04,13.0132,10.9095,,,,,,,,,,,,,,,125.2634,18513673,11402.7584,6188.6384,TRUE,micro,extrapolation
PRY,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Paraguay,PRY,2019,national,,,,income,,,3.064,0.0309,0.0074,0.0026,0.0093,19.46,13.3391,,,,,,,,,,,,,,,2539.9849,6530026,6229.212,4079.9709,FALSE,micro,survey
DZA,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,Algeria,DZA,2019,national,,,,consumption,,,2.363,0.0042,0.0015,0.0011,0.0013,10.3991,9.0641,,,,,,,,,,,,,,,38.2097,42705368,4153.0034,1764.5954,TRUE,group,extrapolation
MNG,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Mongolia,MNG,2019,national,,,,consumption,,,2.874,0.0223,0.0038,0.001,0.0045,10.2167,8.3899,,,,,,,,,,,,,,,873.542,3232430,4385.1117,2792.8122,TRUE,micro,extrapolation
SLB,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Solomon Islands,SLB,2019,national,,,,consumption,,,1.187,0.0485,0.0103,0.0033,0.0127,4.1749,3.2197,,,,,,,,,,,,,,,7.7144,674993,2203.9834,1397.6562,TRUE,micro,extrapolation
IRQ,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,Iraq,IRQ,2019,national,,,,consumption,,,3.312,0.0088,0.0011,2e-04,0.0013,12.5802,10.7027,,,,,,,,,,,,,,,586.4968,41563520,4854.3865,,TRUE,micro,extrapolation
CRI,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Costa Rica,CRI,2019,national,,,,income,,,3.604,0.0343,0.0107,0.0056,0.0143,25.5309,16.2318,,,,,,,,,,,,,,,372.6693,5084532,12662.4229,8185.9077,FALSE,micro,survey
SUR,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Suriname,SUR,2019,urban,,,,income,,,3.697,0.1966,0.1479,0.1314,0.0784,18.836,11.718,,,,,,,,,,,,,,,2.9343,396769,8756.1552,,TRUE,micro,extrapolation
LSO,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Lesotho,LSO,2019,national,,,,consumption,,,1.102,0.1016,0.0307,0.0131,0.0415,4.4442,3.0987,,,,,,,,,,,,,,,5.244,2225702,1040.2187,835.9343,TRUE,micro,extrapolation
RUS,2020,fpl_2019eq_fo_2020,Europe & Central Asia,ECA,Russian Federation,RUS,2019,national,,,,consumption,,,6.184,0.028,0.0052,0.0016,0.0064,23.7168,17.9012,,,,,,,,,,,,,,,25.2183,144406261,9958.4697,5348.7827,FALSE,micro,survey
DOM,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Dominican Republic,DOM,2019,national,,,,income,,,3.247,0.027,0.0068,0.003,0.0079,16.4693,11.8024,,,,,,,,,,,,,,,24.3906,10881882,8205.1426,5673.9275,FALSE,micro,survey
NAM,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Namibia,NAM,2019,national,,,,consumption,,,1.587,0.1073,0.0344,0.0152,0.047,10.8385,5.2862,,,,,,,,,,,,,,,6.8983,2446644,4596.6196,3427.6467,TRUE,micro,extrapolation
BWA,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Botswana,BWA,2019,national,,,,consumption,,,2.276,0.1536,0.0411,0.0165,0.0543,9.3453,5.1275,,,,,,,,,,,,,,,5.0087,2499702,6485.4604,2815.3277,TRUE,micro,extrapolation
VUT,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Vanuatu,VUT,2019,national,,,,consumption,,,1.894,0.0641,0.0147,0.0048,0.0181,5.5141,4.735,,,,,,,,,,,,,,,117.3665,304404,2838.9883,1820.4999,TRUE,micro,interpolation
COM,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Comoros,COM,2019,national,,,,consumption,,,2.618,0.2506,0.0896,0.0448,0.1306,6.6409,4.5375,,,,,,,,,,,,,,,213.5182,790986,1381.6222,1302.6061,TRUE,micro,extrapolation
CHN-U,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,China,CHN,2019,urban,,,,consumption,,,1.706,3e-04,1e-04,0,1e-04,16.9772,13.3395,,,,,,,,,,,,,,,4.3185,848982855,10155.5114,4083.1129,FALSE,aggregate,survey
MAR,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,Morocco,MAR,2019,national,,,,consumption,,,1.418,0.0013,2e-04,1e-04,3e-04,11.3877,8.3125,,,,,,,,,,,,,,,4.2908,36304408,3355.613,1955.6167,TRUE,micro,extrapolation
CHL,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Chile,CHL,2019,national,,,,income,,,2.952,0.0089,0.0044,0.0033,0.0047,27.0133,18.1061,,,,,,,,,,,,,,,478.9957,19039485,13761.3745,8799.0632,TRUE,micro,interpolation
BLZ,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,Belize,BLZ,2019,national,,,,income,,,1.373,0.0982,0.0455,0.0291,0.0665,8.0582,4.7844,,,,,,,,,,,,,,,1.309,389095,5907.3489,3519.5142,TRUE,micro,extrapolation
STP,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Sao Tome and Principe,STP,2019,national,,,,consumption,,,1.788,0.0838,0.0206,0.0078,0.0267,5.5713,4.0826,,,,,,,,,,,,,,,11.4289,214599,1676.3963,,TRUE,micro,extrapolation
KGZ,2020,fpl_2019eq_fo_2020,Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2019,national,,,,consumption,,,2.501,0.018,0.0031,0.0012,0.0046,7.0922,5.8372,,,,,,,,,,,,,,,19.3727,6456200,1226.8243,1046.9191,FALSE,micro,survey
ARM,2020,fpl_2019eq_fo_2020,Europe & Central Asia,ECA,Armenia,ARM,2019,national,,,,consumption,,,2.08,0.007,0.001,2e-04,0.0011,7.9063,6.714,,,,,,,,,,,,,,,167.3122,2820602,4561.9678,3804.3075,FALSE,micro,survey
TUN,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,Tunisia,TUN,2019,national,,,,consumption,,,2.379,0.002,2e-04,1e-04,3e-04,14.575,12.0356,,,,,,,,,,,,,,,0.7423,12049314,4094.8806,2992.3983,TRUE,micro,extrapolation
PSE,2020,fpl_2019eq_fo_2020,Middle East & North Africa,MNA,West Bank and Gaza,PSE,2019,national,,,,consumption,,,3.378,0.0244,0.0053,0.0017,0.0065,13.7295,11.3416,,,,,,,,,,,,,,,2.0663,4685306,3378.4346,3015.0645,TRUE,micro,extrapolation
BEN,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Benin,BEN,2019,national,,,,consumption,,,1.026,0.0118,0.0016,4e-04,0.0019,4.7459,3.5472,,,,,,,,,,,,,,,219.4763,12290444,1153.7262,787.1982,TRUE,micro,extrapolation
CPV,2020,fpl_2019eq_fo_2020,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2019,national,,,,consumption,,,1.671,0.0105,0.0019,6e-04,0.0023,11.0674,7.8351,,,,,,,,,,,,,,,47.6121,577030,3690.6565,2430.3797,TRUE,micro,extrapolation
ALB,2020,fpl_2019eq_fo_2020,Europe & Central Asia,ECA,Albania,ALB,2019,national,,,,consumption,,,3.15,0.0054,6e-04,1e-04,6e-04,13.7498,11.6073,,,,,,,,,,,,,,,50.3574,2854191,4543.3877,3591.2926,FALSE,micro,survey
FSM,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2019,national,,,,consumption,,,1.461,0.0749,0.0276,0.0151,0.0431,5.8221,4.428,,,,,,,,,,,,,,,0.9772,111379,2967.0022,,TRUE,micro,extrapolation
AZE,2020,fpl_2019eq_fo_2020,Europe & Central Asia,ECA,Azerbaijan,AZE,2019,national,,,,consumption,,,5.39,1e-04,1.1749e-06,1.5938e-08,1.183e-06,19.7505,16.3746,,,,,,,,,,,,,,,0.487,10024283,5348.4541,,TRUE,micro,extrapolation
BTN,2020,fpl_2019eq_fo_2020,South Asia,SAS,Bhutan,BTN,2019,national,,,,consumption,,,2.536,0.0097,0.0015,4e-04,0.0019,13.5325,11.1228,,,,,,,,,,,,,,,20.4738,767459,3219.6414,1829.0473,TRUE,micro,interpolation
KIR,2020,fpl_2019eq_fo_2020,East Asia & Pacific,EAP,Kiribati,KIR,2019,national,,,,consumption,,,2.795,0.0718,0.0121,0.0034,0.0144,6.2648,5.3335,,,,,,,,,,,,,,,0.981,124241,1405.4692,1327.3395,TRUE,micro,interpolation
MNE,2020,fpl_2019eq_fo_2020,Europe & Central Asia,ECA,Montenegro,MNE,2019,national,,,,income,,,5.761,0.1303,0.0487,0.0268,0.0779,17.4967,15.0708,,,,,,,,,,,,,,,0.4187,622028,7684.1804,6091.2408,TRUE,micro,extrapolation
LCA,2020,fpl_2019eq_fo_2020,Latin America & Caribbean,LAC,St. Lucia,LCA,2019,national,,,,income,,,2.872,0.08,0.0363,0.0245,0.0498,20.9339,13.6152,,,,,,,,,,,,,,,2.0792,178583,11060.6889,,TRUE,micro,extrapolation
